Size,RunIndex,CaseName,Tool,Sequence,Scenario,MetricValue,PhaseName,MetricName,Iteration
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6,BasicXform,46868872,M2MTransformation2,AverageMemory,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,6,BasicXform,57606304,M2MTransformation2,PeakMemory,1
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,7,BasicXform,152315,Modification,Time,2
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,7,BasicXform,14663168,Modification,Memory,2
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8,BasicXform,57353785,M2MTransformation2,Time,2
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8,BasicXform,14672328,M2MTransformation2,Memory,2
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8,BasicXform,57613624,M2MTransformation2,PeakMemory,2
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8,BasicXform,46876196,M2MTransformation2,AverageMemory,2
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,9,BasicXform,135701,Modification,Time,3
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,9,BasicXform,14672480,Modification,Memory,3
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10,BasicXform,60275497,M2MTransformation2,Time,3
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10,BasicXform,14679432,M2MTransformation2,Memory,3
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10,BasicXform,57622936,M2MTransformation2,PeakMemory,3
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10,BasicXform,46885508,M2MTransformation2,AverageMemory,3
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,11,BasicXform,137959,Modification,Time,4
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,11,BasicXform,14679672,Modification,Memory,4
2,1,StatisticBasedCase,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12,BasicXform,57182970,M2MTransformation2,Time,4
