Iteration,Sequence,Tool,Scenario,RunIndex,MetricValue,MetricName,PhaseName,CaseName,Size
1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,446554,Time,EMFResourceInitialization,StatisticBasedCase,4
1,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,9405368,Memory,EMFResourceInitialization,StatisticBasedCase,4
1,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,278762301,Time,Generation,StatisticBasedCase,4
1,2,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,15992032,Memory,Generation,StatisticBasedCase,4
1,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,53343127,Time,Initialization,StatisticBasedCase,4
1,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,13629800,Memory,Initialization,StatisticBasedCase,4
1,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,52850136,PeakMemory,Initialization,StatisticBasedCase,4
1,3,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,42112712,AverageMemory,Initialization,StatisticBasedCase,4
1,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,52766457,Time,M2MTransformation1,StatisticBasedCase,4
1,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,15121256,Memory,M2MTransformation1,StatisticBasedCase,4
1,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,35105232,PeakMemory,M2MTransformation1,StatisticBasedCase,4
1,4,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,35105232,AverageMemory,M2MTransformation1,StatisticBasedCase,4
1,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,202581,Time,Modification,StatisticBasedCase,4
1,5,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,15123896,Memory,Modification,StatisticBasedCase,4
1,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,49955768,Time,M2MTransformation2,StatisticBasedCase,4
1,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,15182304,Memory,M2MTransformation2,StatisticBasedCase,4
1,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,36599528,PeakMemory,M2MTransformation2,StatisticBasedCase,4
1,6,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,36599528,AverageMemory,M2MTransformation2,StatisticBasedCase,4
2,7,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,169923,Time,Modification,StatisticBasedCase,4
2,7,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,15185536,Memory,Modification,StatisticBasedCase,4
2,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,49906284,Time,M2MTransformation2,StatisticBasedCase,4
2,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,15192800,Memory,M2MTransformation2,StatisticBasedCase,4
2,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,36661168,AverageMemory,M2MTransformation2,StatisticBasedCase,4
2,8,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,36661168,PeakMemory,M2MTransformation2,StatisticBasedCase,4
3,9,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,218354,Time,Modification,StatisticBasedCase,4
3,9,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,15194064,Memory,Modification,StatisticBasedCase,4
3,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,42422750,Time,M2MTransformation2,StatisticBasedCase,4
3,10,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3,15199672,Memory,M2MTransformation2,StatisticBasedCase,4
