Size,MetricValue,RunIndex,Scenario,MetricName,Tool,Sequence,CaseName,PhaseName,Iteration
64,5243818320,1,BasicXform,PeakMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,12,StatisticBasedCase,M2MTransformation2,4
64,5234238552,1,BasicXform,AverageMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,12,StatisticBasedCase,M2MTransformation2,4
64,2334038,1,BasicXform,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,13,StatisticBasedCase,Modification,5
64,5219009944,1,BasicXform,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,13,StatisticBasedCase,Modification,5
64,4247,1,BasicXform,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,14,StatisticBasedCase,M2MTransformation2,5
64,5219010792,1,BasicXform,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,14,StatisticBasedCase,M2MTransformation2,5
64,5245949096,1,BasicXform,PeakMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,14,StatisticBasedCase,M2MTransformation2,5
64,5230382892,1,BasicXform,AverageMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,14,StatisticBasedCase,M2MTransformation2,5
2,152804,4,BasicXform,Time,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,1,StatisticBasedCase,EMFResourceInitialization,1
2,11232672,4,BasicXform,Memory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,1,StatisticBasedCase,EMFResourceInitialization,1
2,85730087,4,BasicXform,Time,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,2,StatisticBasedCase,Generation,1
2,15215208,4,BasicXform,Memory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,2,StatisticBasedCase,Generation,1
2,32168234,4,BasicXform,Time,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,3,StatisticBasedCase,Initialization,1
2,15815592,4,BasicXform,Memory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,3,StatisticBasedCase,Initialization,1
2,65160224,4,BasicXform,PeakMemory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,3,StatisticBasedCase,Initialization,1
2,43685360,4,BasicXform,AverageMemory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,3,StatisticBasedCase,Initialization,1
2,52109285,4,BasicXform,Time,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
2,18778016,4,BasicXform,Memory,INCR_VIATRA_QUERY_RESULT_TRACEABILITY-TEMPLATE,4,StatisticBasedCase,M2MTransformation1,1
