Iteration,MetricName,Scenario,Tool,PhaseName,MetricValue,RunIndex,Size,Sequence,CaseName
5,AverageMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,784972538,3,64,14,StatisticBasedCase
5,PeakMemory,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1026016832,3,64,14,StatisticBasedCase
1,Time,BasicXform,BATCH_OPTIMIZED-TEMPLATE,EMFResourceInitialization,328128,2,16,1,StatisticBasedCase
1,Memory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,EMFResourceInitialization,9466384,2,16,1,StatisticBasedCase
1,Time,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Generation,4258067816,2,16,2,StatisticBasedCase
1,Memory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Generation,103432616,2,16,2,StatisticBasedCase
1,Time,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Initialization,25638,2,16,3,StatisticBasedCase
1,Memory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Initialization,12209784,2,16,3,StatisticBasedCase
1,AverageMemory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Initialization,32925404,2,16,3,StatisticBasedCase
1,PeakMemory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Initialization,53640824,2,16,3,StatisticBasedCase
1,Time,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,30748586627,2,16,4,StatisticBasedCase
1,Memory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,16108872,2,16,4,StatisticBasedCase
1,PeakMemory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,3097983288,2,16,4,StatisticBasedCase
1,AverageMemory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation1,934059050,2,16,4,StatisticBasedCase
1,Time,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Modification,303248,2,16,5,StatisticBasedCase
1,Memory,BasicXform,BATCH_OPTIMIZED-TEMPLATE,Modification,16108992,2,16,5,StatisticBasedCase
