PhaseName,Sequence,MetricValue,MetricName,Tool,Iteration,CaseName,RunIndex,Size,Scenario
Modification,5,1036386,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
Modification,5,1624759312,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,6,1763106625,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,6,1624776024,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,6,2287436840,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,6,1940320400,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,3,64,BasicXform
Modification,7,1020920,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,3,64,BasicXform
Modification,7,1624803592,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,8,1726174779,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,8,1624818248,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,8,1950883282,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,8,2287481096,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,StatisticBasedCase,3,64,BasicXform
Modification,9,587835,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,3,64,BasicXform
Modification,9,1624845944,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,10,1723540964,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,10,1624860616,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,10,2287523848,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,10,1950925856,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3,StatisticBasedCase,3,64,BasicXform
Modification,11,638024,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,3,64,BasicXform
Modification,11,1624887568,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,12,1718506023,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,12,1624902536,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,12,1950967626,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,12,2319997984,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4,StatisticBasedCase,3,64,BasicXform
Modification,13,688117,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,3,64,BasicXform
Modification,13,1624930448,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,14,1819925729,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,14,1624945128,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,14,2287607736,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,3,64,BasicXform
M2MTransformation2,14,1940491461,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5,StatisticBasedCase,3,64,BasicXform
EMFResourceInitialization,1,222050,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
EMFResourceInitialization,1,11896184,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
Generation,2,112969203453,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
Generation,2,2925175056,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
Initialization,3,11650582755,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
Initialization,3,1532337784,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
Initialization,3,4085628824,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
Initialization,3,1459387167,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
M2MTransformation1,4,682539540,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,2,64,BasicXform
