Size,Iteration,Sequence,RunIndex,MetricName,Tool,Scenario,MetricValue,CaseName,PhaseName
128,3,9,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,216442,LowSynchCase,Modification
128,3,9,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123194840,LowSynchCase,Modification
128,3,10,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3877917055,LowSynchCase,M2MTransformation2
128,3,10,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123216968,LowSynchCase,M2MTransformation2
128,3,10,3,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4318655576,LowSynchCase,M2MTransformation2
128,3,10,3,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2550947560,LowSynchCase,M2MTransformation2
128,4,11,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,168307,LowSynchCase,Modification
128,4,11,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123225432,LowSynchCase,Modification
128,4,12,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3855231466,LowSynchCase,M2MTransformation2
128,4,12,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123247920,LowSynchCase,M2MTransformation2
128,4,12,3,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4303359504,LowSynchCase,M2MTransformation2
128,4,12,3,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2569875036,LowSynchCase,M2MTransformation2
128,5,13,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,142097,LowSynchCase,Modification
128,5,13,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123256544,LowSynchCase,Modification
128,5,14,3,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3862111699,LowSynchCase,M2MTransformation2
128,5,14,3,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123278528,LowSynchCase,M2MTransformation2
128,5,14,3,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2569991880,LowSynchCase,M2MTransformation2
128,5,14,3,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4303818352,LowSynchCase,M2MTransformation2
128,1,1,1,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,486801,LowSynchCase,EMFResourceInitialization
128,1,1,1,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,11201952,LowSynchCase,EMFResourceInitialization
128,1,2,1,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,9018525425,LowSynchCase,Generation
128,1,2,1,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,677625488,LowSynchCase,Generation
128,1,3,1,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1761984562,LowSynchCase,Initialization
128,1,3,1,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,594481880,LowSynchCase,Initialization
128,1,3,1,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1478256472,LowSynchCase,Initialization
128,1,3,1,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,794749280,LowSynchCase,Initialization
128,1,4,1,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3167669854,LowSynchCase,M2MTransformation1
128,1,4,1,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123127368,LowSynchCase,M2MTransformation1
128,1,4,1,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2211429508,LowSynchCase,M2MTransformation1
128,1,4,1,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,3417698192,LowSynchCase,M2MTransformation1
128,1,5,1,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,210261,LowSynchCase,Modification
128,1,5,1,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123134456,LowSynchCase,Modification
128,1,6,1,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4159693881,LowSynchCase,M2MTransformation2
128,1,6,1,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123157208,LowSynchCase,M2MTransformation2
128,1,6,1,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4344360280,LowSynchCase,M2MTransformation2
128,1,6,1,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2866232708,LowSynchCase,M2MTransformation2
128,2,7,1,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,187646,LowSynchCase,Modification
128,2,7,1,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123165176,LowSynchCase,Modification
128,2,8,1,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4105620110,LowSynchCase,M2MTransformation2
128,2,8,1,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123187160,LowSynchCase,M2MTransformation2
128,2,8,1,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2823939901,LowSynchCase,M2MTransformation2
128,2,8,1,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4344391000,LowSynchCase,M2MTransformation2
128,3,9,1,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,148595,LowSynchCase,Modification
128,3,9,1,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123195464,LowSynchCase,Modification
128,3,10,1,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4418372662,LowSynchCase,M2MTransformation2
128,3,10,1,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123217592,LowSynchCase,M2MTransformation2
128,3,10,1,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4680463080,LowSynchCase,M2MTransformation2
128,3,10,1,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1967423777,LowSynchCase,M2MTransformation2
128,4,11,1,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,136162,LowSynchCase,Modification
128,4,11,1,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123226056,LowSynchCase,Modification
128,4,12,1,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4532388840,LowSynchCase,M2MTransformation2
128,4,12,1,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123248544,LowSynchCase,M2MTransformation2
128,4,12,1,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4711238272,LowSynchCase,M2MTransformation2
128,4,12,1,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,2354172939,LowSynchCase,M2MTransformation2
128,5,13,1,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,147152,LowSynchCase,Modification
128,5,13,1,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,1123257168,LowSynchCase,Modification
128,5,14,1,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,BasicXform,4469299898,LowSynchCase,M2MTransformation2
