Size,CaseName,MetricValue,Scenario,RunIndex,PhaseName,Sequence,MetricName,Iteration,Tool
4,StatisticBasedCase,18227256,BasicXform,2,M2MTransformation2,12,Memory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,39702016,BasicXform,2,M2MTransformation2,12,PeakMemory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,39702016,BasicXform,2,M2MTransformation2,12,AverageMemory,4,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,1990682,BasicXform,2,Modification,13,Time,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,18259064,BasicXform,2,Modification,13,Memory,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,48018,BasicXform,2,M2MTransformation2,14,Time,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,18259936,BasicXform,2,M2MTransformation2,14,Memory,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,39734696,BasicXform,2,M2MTransformation2,14,AverageMemory,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE
4,StatisticBasedCase,61209552,BasicXform,2,M2MTransformation2,14,PeakMemory,5,INCR_VIATRA_TRANSFORMATION-TEMPLATE
32,StatisticBasedCase,569470,BasicXform,3,EMFResourceInitialization,1,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
32,StatisticBasedCase,9844520,BasicXform,3,EMFResourceInitialization,1,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
32,StatisticBasedCase,16071629967,BasicXform,3,Generation,2,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
32,StatisticBasedCase,402777560,BasicXform,3,Generation,2,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
32,StatisticBasedCase,875694781,BasicXform,3,Initialization,3,Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
32,StatisticBasedCase,42776928,BasicXform,3,Initialization,3,Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE
