Size,Tool,MetricValue,Scenario,RunIndex,Iteration,CaseName,MetricName,PhaseName,Sequence
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4253973992,BasicXform,3,5,LowSynchCase,PeakMemory,M2MTransformation2,14
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2720820500,BasicXform,3,5,LowSynchCase,AverageMemory,M2MTransformation2,14
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,572201,BasicXform,1,1,LowSynchCase,Time,EMFResourceInitialization,1
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11202504,BasicXform,1,1,LowSynchCase,Memory,EMFResourceInitialization,1
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,7855475559,BasicXform,1,1,LowSynchCase,Time,Generation,2
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,674796296,BasicXform,1,1,LowSynchCase,Memory,Generation,2
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1635737371,BasicXform,1,1,LowSynchCase,Time,Initialization,3
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,558474592,BasicXform,1,1,LowSynchCase,Memory,Initialization,3
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1178793040,BasicXform,1,1,LowSynchCase,PeakMemory,Initialization,3
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,655878066,BasicXform,1,1,LowSynchCase,AverageMemory,Initialization,3
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4292884276,BasicXform,1,1,LowSynchCase,Time,M2MTransformation1,4
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086481280,BasicXform,1,1,LowSynchCase,Memory,M2MTransformation1,4
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3119863008,BasicXform,1,1,LowSynchCase,PeakMemory,M2MTransformation1,4
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1589437192,BasicXform,1,1,LowSynchCase,AverageMemory,M2MTransformation1,4
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,196886,BasicXform,1,1,LowSynchCase,Time,Modification,5
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086486952,BasicXform,1,1,LowSynchCase,Memory,Modification,5
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4439118109,BasicXform,1,1,LowSynchCase,Time,M2MTransformation2,6
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086509584,BasicXform,1,1,LowSynchCase,Memory,M2MTransformation2,6
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4109236424,BasicXform,1,1,LowSynchCase,PeakMemory,M2MTransformation2,6
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2629349023,BasicXform,1,1,LowSynchCase,AverageMemory,M2MTransformation2,6
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,196664,BasicXform,1,2,LowSynchCase,Time,Modification,7
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086515352,BasicXform,1,2,LowSynchCase,Memory,Modification,7
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3910069113,BasicXform,1,2,LowSynchCase,Time,M2MTransformation2,8
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086537336,BasicXform,1,2,LowSynchCase,Memory,M2MTransformation2,8
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4088970232,BasicXform,1,2,LowSynchCase,PeakMemory,M2MTransformation2,8
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2425110251,BasicXform,1,2,LowSynchCase,AverageMemory,M2MTransformation2,8
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,154749,BasicXform,1,3,LowSynchCase,Time,Modification,9
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086543240,BasicXform,1,3,LowSynchCase,Memory,Modification,9
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3897653212,BasicXform,1,3,LowSynchCase,Time,M2MTransformation2,10
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086565368,BasicXform,1,3,LowSynchCase,Memory,M2MTransformation2,10
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2431646104,BasicXform,1,3,LowSynchCase,AverageMemory,M2MTransformation2,10
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4202358032,BasicXform,1,3,LowSynchCase,PeakMemory,M2MTransformation2,10
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,140132,BasicXform,1,4,LowSynchCase,Time,Modification,11
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086571432,BasicXform,1,4,LowSynchCase,Memory,Modification,11
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3922916398,BasicXform,1,4,LowSynchCase,Time,M2MTransformation2,12
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086593920,BasicXform,1,4,LowSynchCase,Memory,M2MTransformation2,12
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2428133239,BasicXform,1,4,LowSynchCase,AverageMemory,M2MTransformation2,12
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4129928400,BasicXform,1,4,LowSynchCase,PeakMemory,M2MTransformation2,12
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,132409,BasicXform,1,5,LowSynchCase,Time,Modification,13
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086600144,BasicXform,1,5,LowSynchCase,Memory,Modification,13
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4152625750,BasicXform,1,5,LowSynchCase,Time,M2MTransformation2,14
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1086622128,BasicXform,1,5,LowSynchCase,Memory,M2MTransformation2,14
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4124677592,BasicXform,1,5,LowSynchCase,PeakMemory,M2MTransformation2,14
128,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2667640734,BasicXform,1,5,LowSynchCase,AverageMemory,M2MTransformation2,14
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,565605,BasicXform,2,1,LowSynchCase,Time,EMFResourceInitialization,1
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,11190960,BasicXform,2,1,LowSynchCase,Memory,EMFResourceInitialization,1
64,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3539114246,BasicXform,2,1,LowSynchCase,Time,Generation,2
