PhaseName,Scenario,RunIndex,Size,CaseName,MetricName,Iteration,Tool,MetricValue,Sequence
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,Memory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,13289608,10
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,AverageMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,45488084,10
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,PeakMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,56225496,10
Modification,BasicXform,2,2,StatisticBasedCase,Time,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,172252,11
Modification,BasicXform,2,2,StatisticBasedCase,Memory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,13289832,11
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,Time,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,44429274,12
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,Memory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,13296624,12
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,PeakMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,56240392,12
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,AverageMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,45502940,12
Modification,BasicXform,2,2,StatisticBasedCase,Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,195256,13
Modification,BasicXform,2,2,StatisticBasedCase,Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,13296784,13
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,47243311,14
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,13301600,14
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,PeakMemory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,56247272,14
M2MTransformation2,BasicXform,2,2,StatisticBasedCase,AverageMemory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,45509844,14
EMFResourceInitialization,BasicXform,3,16,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,324273,1
EMFResourceInitialization,BasicXform,3,16,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,9652808,1
Generation,BasicXform,3,16,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4180654963,2
Generation,BasicXform,3,16,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,101327704,2
Initialization,BasicXform,3,16,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,417854338,3
Initialization,BasicXform,3,16,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,53708728,3
Initialization,BasicXform,3,16,StatisticBasedCase,AverageMemory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,129389300,3
Initialization,BasicXform,3,16,StatisticBasedCase,PeakMemory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,203898880,3
M2MTransformation1,BasicXform,3,16,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,129088228,4
M2MTransformation1,BasicXform,3,16,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,65145752,4
M2MTransformation1,BasicXform,3,16,StatisticBasedCase,PeakMemory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,138738176,4
M2MTransformation1,BasicXform,3,16,StatisticBasedCase,AverageMemory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,117480972,4
Modification,BasicXform,3,16,StatisticBasedCase,Time,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,452448,5
Modification,BasicXform,3,16,StatisticBasedCase,Memory,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,65158592,5
