RunIndex,Scenario,MetricValue,CaseName,Iteration,MetricName,Size,Tool,PhaseName,Sequence
3,BasicXform,3552444792,StatisticBasedCase,2,PeakMemory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,8
3,BasicXform,512892,StatisticBasedCase,3,Time,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,9
3,BasicXform,293263160,StatisticBasedCase,3,Memory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,9
3,BasicXform,33936411262,StatisticBasedCase,3,Time,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,10
3,BasicXform,293267576,StatisticBasedCase,3,Memory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,10
3,BasicXform,1797765964,StatisticBasedCase,3,AverageMemory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,10
3,BasicXform,3431270664,StatisticBasedCase,3,PeakMemory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,10
3,BasicXform,582515,StatisticBasedCase,4,Time,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,11
3,BasicXform,293267584,StatisticBasedCase,4,Memory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,11
3,BasicXform,33913783124,StatisticBasedCase,4,Time,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,12
3,BasicXform,293275752,StatisticBasedCase,4,Memory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,12
3,BasicXform,3315989096,StatisticBasedCase,4,PeakMemory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,12
3,BasicXform,1862285264,StatisticBasedCase,4,AverageMemory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,12
3,BasicXform,315233,StatisticBasedCase,5,Time,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,13
3,BasicXform,293275792,StatisticBasedCase,5,Memory,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,13
3,BasicXform,33985524621,StatisticBasedCase,5,Time,64,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,14
