Iteration,RunIndex,Tool,Sequence,MetricValue,Size,CaseName,Scenario,MetricName,PhaseName
3,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,9,329820208,64,StatisticBasedCase,BasicXform,Memory,Modification
3,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,10,1066186739,64,StatisticBasedCase,BasicXform,Time,M2MTransformation2
3,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,10,329833616,64,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
3,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,10,846370136,64,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
3,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,10,1119263984,64,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
4,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,11,568707,64,StatisticBasedCase,BasicXform,Time,Modification
4,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,11,329834040,64,StatisticBasedCase,BasicXform,Memory,Modification
4,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,12,1067884393,64,StatisticBasedCase,BasicXform,Time,M2MTransformation2
4,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,12,329847904,64,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
4,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,12,843497650,64,StatisticBasedCase,BasicXform,AverageMemory,M2MTransformation2
4,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,12,1114864176,64,StatisticBasedCase,BasicXform,PeakMemory,M2MTransformation2
5,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,13,306381,64,StatisticBasedCase,BasicXform,Time,Modification
5,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,13,329848328,64,StatisticBasedCase,BasicXform,Memory,Modification
5,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,14,1064596833,64,StatisticBasedCase,BasicXform,Time,M2MTransformation2
5,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,14,329856544,64,StatisticBasedCase,BasicXform,Memory,M2MTransformation2
