MetricValue,CaseName,Scenario,Sequence,Iteration,Size,MetricName,Tool,PhaseName,RunIndex
18187936,StatisticBasedCase,BasicXform,12,4,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
1094105560,StatisticBasedCase,BasicXform,12,4,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
406469013,StatisticBasedCase,BasicXform,12,4,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
182494,StatisticBasedCase,BasicXform,13,5,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,1
18188128,StatisticBasedCase,BasicXform,13,5,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Modification,1
4075690123,StatisticBasedCase,BasicXform,14,5,8,Time,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
18191432,StatisticBasedCase,BasicXform,14,5,8,Memory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
1447399096,StatisticBasedCase,BasicXform,14,5,8,PeakMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
562331485,StatisticBasedCase,BasicXform,14,5,8,AverageMemory,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation2,1
178840,StatisticBasedCase,BasicXform,1,1,32,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,EMFResourceInitialization,5
11829168,StatisticBasedCase,BasicXform,1,1,32,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,EMFResourceInitialization,5
17643049161,StatisticBasedCase,BasicXform,2,1,32,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Generation,5
755932464,StatisticBasedCase,BasicXform,2,1,32,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Generation,5
2148546265,StatisticBasedCase,BasicXform,3,1,32,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Initialization,5
401754304,StatisticBasedCase,BasicXform,3,1,32,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Initialization,5
1831226216,StatisticBasedCase,BasicXform,3,1,32,PeakMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Initialization,5
1083412779,StatisticBasedCase,BasicXform,3,1,32,AverageMemory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Initialization,5
4130553995,StatisticBasedCase,BasicXform,4,1,32,Time,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation1,5
1274627000,StatisticBasedCase,BasicXform,4,1,32,Memory,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation1,5
