RunIndex,MetricName,MetricValue,Scenario,Size,Sequence,PhaseName,CaseName,Iteration,Tool
2,AverageMemory,1291541047,BasicXform,16,10,M2MTransformation2,StatisticBasedCase,3,BATCH_OPTIMIZED-TEMPLATE
2,PeakMemory,3255417248,BasicXform,16,10,M2MTransformation2,StatisticBasedCase,3,BATCH_OPTIMIZED-TEMPLATE
2,Time,159396,BasicXform,16,11,Modification,StatisticBasedCase,4,BATCH_OPTIMIZED-TEMPLATE
2,Memory,18644608,BasicXform,16,11,Modification,StatisticBasedCase,4,BATCH_OPTIMIZED-TEMPLATE
2,Time,34375035413,BasicXform,16,12,M2MTransformation2,StatisticBasedCase,4,BATCH_OPTIMIZED-TEMPLATE
2,Memory,19594472,BasicXform,16,12,M2MTransformation2,StatisticBasedCase,4,BATCH_OPTIMIZED-TEMPLATE
2,PeakMemory,3248337144,BasicXform,16,12,M2MTransformation2,StatisticBasedCase,4,BATCH_OPTIMIZED-TEMPLATE
2,AverageMemory,1103567030,BasicXform,16,12,M2MTransformation2,StatisticBasedCase,4,BATCH_OPTIMIZED-TEMPLATE
2,Time,211479,BasicXform,16,13,Modification,StatisticBasedCase,5,BATCH_OPTIMIZED-TEMPLATE
2,Memory,19594560,BasicXform,16,13,Modification,StatisticBasedCase,5,BATCH_OPTIMIZED-TEMPLATE
2,Time,34237752584,BasicXform,16,14,M2MTransformation2,StatisticBasedCase,5,BATCH_OPTIMIZED-TEMPLATE
2,Memory,20545752,BasicXform,16,14,M2MTransformation2,StatisticBasedCase,5,BATCH_OPTIMIZED-TEMPLATE
2,AverageMemory,1088946949,BasicXform,16,14,M2MTransformation2,StatisticBasedCase,5,BATCH_OPTIMIZED-TEMPLATE
2,PeakMemory,3241922464,BasicXform,16,14,M2MTransformation2,StatisticBasedCase,5,BATCH_OPTIMIZED-TEMPLATE
2,Time,551566,BasicXform,1,1,EMFResourceInitialization,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Memory,8909176,BasicXform,1,1,EMFResourceInitialization,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Time,56857105,BasicXform,1,2,Generation,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Memory,10815256,BasicXform,1,2,Generation,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Time,55992066,BasicXform,1,3,Initialization,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
2,Memory,11412248,BasicXform,1,3,Initialization,StatisticBasedCase,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE
