CaseName,PhaseName,Scenario,RunIndex,Sequence,Tool,Size,Iteration,MetricValue,MetricName
StatisticBasedCase,M2MTransformation2,BasicXform,1,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,3,187740336,PeakMemory
StatisticBasedCase,M2MTransformation2,BasicXform,1,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,3,101840900,AverageMemory
StatisticBasedCase,Modification,BasicXform,1,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,4,326198,Time
StatisticBasedCase,Modification,BasicXform,1,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,4,15948160,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,4,182634940,Time
StatisticBasedCase,M2MTransformation2,BasicXform,1,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,4,15954224,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,4,101848476,AverageMemory
StatisticBasedCase,M2MTransformation2,BasicXform,1,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,4,166273136,PeakMemory
StatisticBasedCase,Modification,BasicXform,1,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,5,248549,Time
StatisticBasedCase,Modification,BasicXform,1,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,5,15954024,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,5,176999167,Time
StatisticBasedCase,M2MTransformation2,BasicXform,1,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,5,15961656,Memory
StatisticBasedCase,M2MTransformation2,BasicXform,1,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,5,187753712,PeakMemory
