Size,Tool,Iteration,MetricValue,Scenario,Sequence,RunIndex,MetricName,CaseName,PhaseName
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,239237808,BasicXform,8,1,PeakMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,155460120,BasicXform,8,1,AverageMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,278290,BasicXform,9,1,Time,StatisticBasedCase,Modification
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,29819784,BasicXform,9,1,Memory,StatisticBasedCase,Modification
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,281000633,BasicXform,10,1,Time,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,29823248,BasicXform,10,1,Memory,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,239264672,BasicXform,10,1,PeakMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,155487032,BasicXform,10,1,AverageMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,284809,BasicXform,11,1,Time,StatisticBasedCase,Modification
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,29823480,BasicXform,11,1,Memory,StatisticBasedCase,Modification
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,275342763,BasicXform,12,1,Time,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,29832848,BasicXform,12,1,Memory,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,155490820,BasicXform,12,1,AverageMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,4,239268528,BasicXform,12,1,PeakMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,275557,BasicXform,13,1,Time,StatisticBasedCase,Modification
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,29833280,BasicXform,13,1,Memory,StatisticBasedCase,Modification
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,270229010,BasicXform,14,1,Time,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,29837592,BasicXform,14,1,Memory,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,155500672,BasicXform,14,1,AverageMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,5,239278456,BasicXform,14,1,PeakMemory,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,481494,BasicXform,1,1,Time,StatisticBasedCase,EMFResourceInitialization
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,9523536,BasicXform,1,1,Memory,StatisticBasedCase,EMFResourceInitialization
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,66861232,BasicXform,2,1,Time,StatisticBasedCase,Generation
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,10650408,BasicXform,2,1,Memory,StatisticBasedCase,Generation
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,4059977,BasicXform,3,1,Time,StatisticBasedCase,Initialization
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,9869000,BasicXform,3,1,Memory,StatisticBasedCase,Initialization
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,52581752,BasicXform,3,1,PeakMemory,StatisticBasedCase,Initialization
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,41844328,BasicXform,3,1,AverageMemory,StatisticBasedCase,Initialization
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,37224597,BasicXform,4,1,Time,StatisticBasedCase,M2MTransformation1
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,10780744,BasicXform,4,1,Memory,StatisticBasedCase,M2MTransformation1
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,42081904,BasicXform,4,1,AverageMemory,StatisticBasedCase,M2MTransformation1
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,63556768,BasicXform,4,1,PeakMemory,StatisticBasedCase,M2MTransformation1
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,200828,BasicXform,5,1,Time,StatisticBasedCase,Modification
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,10781104,BasicXform,5,1,Memory,StatisticBasedCase,Modification
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,27567776,BasicXform,6,1,Time,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,10787112,BasicXform,6,1,Memory,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,53731640,BasicXform,6,1,PeakMemory,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,1,32256784,BasicXform,6,1,AverageMemory,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,218017,BasicXform,7,1,Time,StatisticBasedCase,Modification
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,10787472,BasicXform,7,1,Memory,StatisticBasedCase,Modification
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,26747694,BasicXform,8,1,Time,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,10794928,BasicXform,8,1,Memory,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,32263152,BasicXform,8,1,PeakMemory,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,2,32263152,BasicXform,8,1,AverageMemory,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,3,166308,BasicXform,9,1,Time,StatisticBasedCase,Modification
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,3,10795416,BasicXform,9,1,Memory,StatisticBasedCase,Modification
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,3,24400849,BasicXform,10,1,Time,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,3,10801640,BasicXform,10,1,Memory,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,3,32271096,BasicXform,10,1,AverageMemory,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,3,32271096,BasicXform,10,1,PeakMemory,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,4,208854,BasicXform,11,1,Time,StatisticBasedCase,Modification
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,4,10802024,BasicXform,11,1,Memory,StatisticBasedCase,Modification
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,4,23544324,BasicXform,12,1,Time,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,4,10808280,BasicXform,12,1,Memory,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,4,32277728,BasicXform,12,1,AverageMemory,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,4,53752584,BasicXform,12,1,PeakMemory,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,5,181472,BasicXform,13,1,Time,StatisticBasedCase,Modification
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,5,10808928,BasicXform,13,1,Memory,StatisticBasedCase,Modification
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,5,26314063,BasicXform,14,1,Time,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,5,10818904,BasicXform,14,1,Memory,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,5,32284608,BasicXform,14,1,AverageMemory,StatisticBasedCase,M2MTransformation2
1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_GENERIC-TEMPLATE,5,32284608,BasicXform,14,1,PeakMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,1,556400,BasicXform,1,1,Time,StatisticBasedCase,EMFResourceInitialization
16,BATCH_OPTIMIZED-TEMPLATE,1,9440360,BasicXform,1,1,Memory,StatisticBasedCase,EMFResourceInitialization
16,BATCH_OPTIMIZED-TEMPLATE,1,4363723245,BasicXform,2,1,Time,StatisticBasedCase,Generation
16,BATCH_OPTIMIZED-TEMPLATE,1,103385600,BasicXform,2,1,Memory,StatisticBasedCase,Generation
16,BATCH_OPTIMIZED-TEMPLATE,1,31853,BasicXform,3,1,Time,StatisticBasedCase,Initialization
16,BATCH_OPTIMIZED-TEMPLATE,1,12153848,BasicXform,3,1,Memory,StatisticBasedCase,Initialization
16,BATCH_OPTIMIZED-TEMPLATE,1,32889072,BasicXform,3,1,AverageMemory,StatisticBasedCase,Initialization
16,BATCH_OPTIMIZED-TEMPLATE,1,53624096,BasicXform,3,1,PeakMemory,StatisticBasedCase,Initialization
16,BATCH_OPTIMIZED-TEMPLATE,1,29895682320,BasicXform,4,1,Time,StatisticBasedCase,M2MTransformation1
16,BATCH_OPTIMIZED-TEMPLATE,1,16052904,BasicXform,4,1,Memory,StatisticBasedCase,M2MTransformation1
16,BATCH_OPTIMIZED-TEMPLATE,1,1238455754,BasicXform,4,1,AverageMemory,StatisticBasedCase,M2MTransformation1
16,BATCH_OPTIMIZED-TEMPLATE,1,3097931216,BasicXform,4,1,PeakMemory,StatisticBasedCase,M2MTransformation1
16,BATCH_OPTIMIZED-TEMPLATE,1,331910,BasicXform,5,1,Time,StatisticBasedCase,Modification
16,BATCH_OPTIMIZED-TEMPLATE,1,16053000,BasicXform,5,1,Memory,StatisticBasedCase,Modification
16,BATCH_OPTIMIZED-TEMPLATE,1,29812019864,BasicXform,6,1,Time,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,1,17096736,BasicXform,6,1,Memory,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,1,1016788456,BasicXform,6,1,AverageMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,1,3044484816,BasicXform,6,1,PeakMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,2,182496,BasicXform,7,1,Time,StatisticBasedCase,Modification
16,BATCH_OPTIMIZED-TEMPLATE,2,17096856,BasicXform,7,1,Memory,StatisticBasedCase,Modification
16,BATCH_OPTIMIZED-TEMPLATE,2,30044537815,BasicXform,8,1,Time,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,2,18044168,BasicXform,8,1,Memory,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,2,3032797944,BasicXform,8,1,PeakMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,2,1048517666,BasicXform,8,1,AverageMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,3,159323,BasicXform,9,1,Time,StatisticBasedCase,Modification
16,BATCH_OPTIMIZED-TEMPLATE,3,18044264,BasicXform,9,1,Memory,StatisticBasedCase,Modification
16,BATCH_OPTIMIZED-TEMPLATE,3,30129024030,BasicXform,10,1,Time,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,3,19189824,BasicXform,10,1,Memory,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,3,3033485336,BasicXform,10,1,PeakMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,3,1287156858,BasicXform,10,1,AverageMemory,StatisticBasedCase,M2MTransformation2
16,BATCH_OPTIMIZED-TEMPLATE,4,258761,BasicXform,11,1,Time,StatisticBasedCase,Modification
16,BATCH_OPTIMIZED-TEMPLATE,4,19189944,BasicXform,11,1,Memory,StatisticBasedCase,Modification
