MetricName,Sequence,Tool,Iteration,RunIndex,MetricValue,Scenario,CaseName,Size,PhaseName
AverageMemory,14,BATCH_OPTIMIZED-TEMPLATE,5,2,1025854165,BasicXform,StatisticBasedCase,16,M2MTransformation2
Time,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,669737,BasicXform,StatisticBasedCase,2,EMFResourceInitialization
Memory,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,9520688,BasicXform,StatisticBasedCase,2,EMFResourceInitialization
Time,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,96670468,BasicXform,StatisticBasedCase,2,Generation
Memory,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,11687336,BasicXform,StatisticBasedCase,2,Generation
Time,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,55751287,BasicXform,StatisticBasedCase,2,Initialization
Memory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,12126016,BasicXform,StatisticBasedCase,2,Initialization
PeakMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,95654848,BasicXform,StatisticBasedCase,2,Initialization
AverageMemory,3,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,52705156,BasicXform,StatisticBasedCase,2,Initialization
Time,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,42793806,BasicXform,StatisticBasedCase,2,M2MTransformation1
Memory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,12688800,BasicXform,StatisticBasedCase,2,M2MTransformation1
PeakMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,55076304,BasicXform,StatisticBasedCase,2,M2MTransformation1
AverageMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,44338876,BasicXform,StatisticBasedCase,2,M2MTransformation1
Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,145722,BasicXform,StatisticBasedCase,2,Modification
Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,12688576,BasicXform,StatisticBasedCase,2,Modification
Time,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,46416928,BasicXform,StatisticBasedCase,2,M2MTransformation2
Memory,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,12693304,BasicXform,StatisticBasedCase,2,M2MTransformation2
PeakMemory,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,55639032,BasicXform,StatisticBasedCase,2,M2MTransformation2
AverageMemory,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,2,44901620,BasicXform,StatisticBasedCase,2,M2MTransformation2
Time,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,130511,BasicXform,StatisticBasedCase,2,Modification
Memory,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12693080,BasicXform,StatisticBasedCase,2,Modification
Time,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,44055391,BasicXform,StatisticBasedCase,2,M2MTransformation2
Memory,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,12698968,BasicXform,StatisticBasedCase,2,M2MTransformation2
PeakMemory,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,77118392,BasicXform,StatisticBasedCase,2,M2MTransformation2
AverageMemory,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,2,2,44906124,BasicXform,StatisticBasedCase,2,M2MTransformation2
Time,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,2,174059,BasicXform,StatisticBasedCase,2,Modification
Memory,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,3,2,12698872,BasicXform,StatisticBasedCase,2,Modification
