RunIndex,MetricValue,PhaseName,Sequence,MetricName,Iteration,Tool,Scenario,Size,CaseName
3,1036078319,M2MTransformation2,12,Time,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,226644640,M2MTransformation2,12,Memory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,1004547656,M2MTransformation2,12,PeakMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,745245701,M2MTransformation2,12,AverageMemory,4,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,300702,Modification,13,Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,226644680,Modification,13,Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,1014050645,M2MTransformation2,14,Time,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,226650848,M2MTransformation2,14,Memory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,1004551544,M2MTransformation2,14,PeakMemory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
3,763771090,M2MTransformation2,14,AverageMemory,5,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,BasicXform,64,StatisticBasedCase
2,233327,EMFResourceInitialization,1,Time,1,BATCH_OPTIMIZED-TEMPLATE,BasicXform,16,StatisticBasedCase
2,9390152,EMFResourceInitialization,1,Memory,1,BATCH_OPTIMIZED-TEMPLATE,BasicXform,16,StatisticBasedCase
2,3792852671,Generation,2,Time,1,BATCH_OPTIMIZED-TEMPLATE,BasicXform,16,StatisticBasedCase
2,99418224,Generation,2,Memory,1,BATCH_OPTIMIZED-TEMPLATE,BasicXform,16,StatisticBasedCase
2,11414,Initialization,3,Time,1,BATCH_OPTIMIZED-TEMPLATE,BasicXform,16,StatisticBasedCase
2,12112776,Initialization,3,Memory,1,BATCH_OPTIMIZED-TEMPLATE,BasicXform,16,StatisticBasedCase
2,53664264,Initialization,3,PeakMemory,1,BATCH_OPTIMIZED-TEMPLATE,BasicXform,16,StatisticBasedCase
2,32888620,Initialization,3,AverageMemory,1,BATCH_OPTIMIZED-TEMPLATE,BasicXform,16,StatisticBasedCase
