MetricName,MetricValue,Tool,PhaseName,Scenario,Sequence,RunIndex,CaseName,Iteration,Size
Time,200647,BATCH_OPTIMIZED-TEMPLATE,Modification,BasicXform,11,2,StatisticBasedCase,4,16
Memory,19272552,BATCH_OPTIMIZED-TEMPLATE,Modification,BasicXform,11,2,StatisticBasedCase,4,16
Time,36767903133,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,12,2,StatisticBasedCase,4,16
Memory,20222944,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,12,2,StatisticBasedCase,4,16
PeakMemory,3379031552,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,12,2,StatisticBasedCase,4,16
AverageMemory,1276411485,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,12,2,StatisticBasedCase,4,16
Time,211296,BATCH_OPTIMIZED-TEMPLATE,Modification,BasicXform,13,2,StatisticBasedCase,5,16
Memory,20223056,BATCH_OPTIMIZED-TEMPLATE,Modification,BasicXform,13,2,StatisticBasedCase,5,16
Time,36596889614,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,14,2,StatisticBasedCase,5,16
Memory,21174744,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,14,2,StatisticBasedCase,5,16
PeakMemory,3380946608,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,14,2,StatisticBasedCase,5,16
AverageMemory,892806807,BATCH_OPTIMIZED-TEMPLATE,M2MTransformation2,BasicXform,14,2,StatisticBasedCase,5,16
Time,188085,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,BasicXform,1,2,StatisticBasedCase,1,2
Memory,9528664,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,EMFResourceInitialization,BasicXform,1,2,StatisticBasedCase,1,2
Time,94711651,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,BasicXform,2,2,StatisticBasedCase,1,2
Memory,12213696,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Generation,BasicXform,2,2,StatisticBasedCase,1,2
Time,55183998,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,BasicXform,3,2,StatisticBasedCase,1,2
Memory,12135848,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,BasicXform,3,2,StatisticBasedCase,1,2
AverageMemory,52721252,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,BasicXform,3,2,StatisticBasedCase,1,2
PeakMemory,95670944,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Initialization,BasicXform,3,2,StatisticBasedCase,1,2
Time,38384204,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,M2MTransformation1,BasicXform,4,2,StatisticBasedCase,1,2
