MetricName,Iteration,Size,Scenario,PhaseName,CaseName,MetricValue,RunIndex,Tool,Sequence
Memory,2,64,BasicXform,Modification,StatisticBasedCase,275640648,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,7
Time,2,64,BasicXform,M2MTransformation2,StatisticBasedCase,1086415972,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8
Memory,2,64,BasicXform,M2MTransformation2,StatisticBasedCase,275647992,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8
AverageMemory,2,64,BasicXform,M2MTransformation2,StatisticBasedCase,1066944261,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8
PeakMemory,2,64,BasicXform,M2MTransformation2,StatisticBasedCase,1503525152,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,8
Time,3,64,BasicXform,Modification,StatisticBasedCase,387008,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,9
Memory,3,64,BasicXform,Modification,StatisticBasedCase,275648160,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,9
Time,3,64,BasicXform,M2MTransformation2,StatisticBasedCase,1076762828,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10
Memory,3,64,BasicXform,M2MTransformation2,StatisticBasedCase,275655576,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10
PeakMemory,3,64,BasicXform,M2MTransformation2,StatisticBasedCase,1495675496,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10
AverageMemory,3,64,BasicXform,M2MTransformation2,StatisticBasedCase,1075444130,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,10
Time,4,64,BasicXform,Modification,StatisticBasedCase,368375,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,11
Memory,4,64,BasicXform,Modification,StatisticBasedCase,275655768,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,11
Time,4,64,BasicXform,M2MTransformation2,StatisticBasedCase,1194155381,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12
Memory,4,64,BasicXform,M2MTransformation2,StatisticBasedCase,275663440,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12
AverageMemory,4,64,BasicXform,M2MTransformation2,StatisticBasedCase,1018050488,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12
PeakMemory,4,64,BasicXform,M2MTransformation2,StatisticBasedCase,1490482992,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,12
Time,5,64,BasicXform,Modification,StatisticBasedCase,373112,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13
Memory,5,64,BasicXform,Modification,StatisticBasedCase,275663632,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,13
Time,5,64,BasicXform,M2MTransformation2,StatisticBasedCase,1066087094,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14
Memory,5,64,BasicXform,M2MTransformation2,StatisticBasedCase,275671032,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14
PeakMemory,5,64,BasicXform,M2MTransformation2,StatisticBasedCase,1487049984,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14
AverageMemory,5,64,BasicXform,M2MTransformation2,StatisticBasedCase,1069794930,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,14
Time,1,2,BasicXform,EMFResourceInitialization,StatisticBasedCase,487486,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1
Memory,1,2,BasicXform,EMFResourceInitialization,StatisticBasedCase,11150496,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1
Time,1,2,BasicXform,Generation,StatisticBasedCase,77240580,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2
Memory,1,2,BasicXform,Generation,StatisticBasedCase,14139720,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2
Time,1,2,BasicXform,Initialization,StatisticBasedCase,31603005,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3
Memory,1,2,BasicXform,Initialization,StatisticBasedCase,14080688,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3
AverageMemory,1,2,BasicXform,Initialization,StatisticBasedCase,43600840,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3
PeakMemory,1,2,BasicXform,Initialization,StatisticBasedCase,54338264,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,3
Time,1,2,BasicXform,M2MTransformation1,StatisticBasedCase,24395157,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4
Memory,1,2,BasicXform,M2MTransformation1,StatisticBasedCase,15865640,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4
AverageMemory,1,2,BasicXform,M2MTransformation1,StatisticBasedCase,35556120,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4
PeakMemory,1,2,BasicXform,M2MTransformation1,StatisticBasedCase,35556120,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,4
Time,1,2,BasicXform,Modification,StatisticBasedCase,218702,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5
Memory,1,2,BasicXform,Modification,StatisticBasedCase,15874392,1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,5
