Scenario,MetricName,Tool,RunIndex,Sequence,Size,MetricValue,PhaseName,Iteration,CaseName
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,5,32,517279,Modification,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,5,32,361911576,Modification,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,6,32,379776206,M2MTransformation2,1,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,6,32,361926928,M2MTransformation2,1,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,6,32,521903676,M2MTransformation2,1,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,6,32,617898480,M2MTransformation2,1,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,7,32,381394,Modification,2,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,7,32,361939592,Modification,2,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,8,32,299101188,M2MTransformation2,2,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,8,32,361953816,M2MTransformation2,2,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,8,32,683355136,M2MTransformation2,2,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,8,32,522559232,M2MTransformation2,2,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,9,32,348923,Modification,3,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,9,32,361967616,Modification,3,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,10,32,284272371,M2MTransformation2,3,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,10,32,361981336,M2MTransformation2,3,StatisticBasedCase
BasicXform,PeakMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,10,32,618958832,M2MTransformation2,3,StatisticBasedCase
BasicXform,AverageMemory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,10,32,522587356,M2MTransformation2,3,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,11,32,351615,Modification,4,StatisticBasedCase
BasicXform,Memory,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,11,32,361995320,Modification,4,StatisticBasedCase
BasicXform,Time,BATCH_VIATRA_QUERY_RETE-TEMPLATE,2,12,32,436322920,M2MTransformation2,4,StatisticBasedCase
