Iteration,Tool,Size,Scenario,RunIndex,PhaseName,Sequence,MetricValue,CaseName,MetricName
4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Modification,11,44255,LowSynchCase,Time
4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Modification,11,689125984,LowSynchCase,Memory
4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,12,9573665707,LowSynchCase,Time
4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,12,689136264,LowSynchCase,Memory
4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,12,2048432539,LowSynchCase,AverageMemory
4,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,12,4344653928,LowSynchCase,PeakMemory
5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Modification,13,43043,LowSynchCase,Time
5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,Modification,13,689137072,LowSynchCase,Memory
5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,14,9570630029,LowSynchCase,Time
5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,14,689147952,LowSynchCase,Memory
5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,14,2118615849,LowSynchCase,AverageMemory
5,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,256,BasicXform,3,M2MTransformation2,14,4338619296,LowSynchCase,PeakMemory
1,BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,BasicXform,1,EMFResourceInitialization,1,861375,LowSynchCase,Time
