Sequence,Iteration,Scenario,Tool,RunIndex,CaseName,PhaseName,MetricName,Size,MetricValue
9,3,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Modification,Memory,32,30177360
10,3,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Time,32,130689581718
10,3,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Memory,32,32467000
10,3,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,PeakMemory,32,2709412600
10,3,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,AverageMemory,32,1040668129
11,4,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Modification,Time,32,332287
11,4,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Modification,Memory,32,32467112
12,4,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Time,32,131060891780
12,4,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Memory,32,34365152
12,4,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,PeakMemory,32,2690231096
12,4,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,AverageMemory,32,1122931111
13,5,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Modification,Time,32,338193
13,5,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,Modification,Memory,32,34365264
14,5,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Time,32,131101714591
14,5,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,Memory,32,36264544
14,5,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,AverageMemory,32,1032478939
14,5,BasicXform,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,M2MTransformation2,PeakMemory,32,2674213320
1,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,EMFResourceInitialization,Time,32,370767
1,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,EMFResourceInitialization,Memory,32,9807008
2,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Generation,Time,32,14309882843
2,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Generation,Memory,32,385615152
3,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Initialization,Time,32,625716420
3,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Initialization,Memory,32,42731368
3,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Initialization,AverageMemory,32,160759200
3,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Initialization,PeakMemory,32,240353696
4,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation1,Time,32,575504631
4,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation1,Memory,32,55129976
4,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation1,PeakMemory,32,488086640
4,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation1,AverageMemory,32,264941220
5,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Modification,Time,32,1213608
5,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Modification,Memory,32,55130136
6,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Time,32,574337645
6,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Memory,32,55142600
6,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,PeakMemory,32,436061424
6,1,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,AverageMemory,32,277340348
7,2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Modification,Time,32,339276
7,2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Modification,Memory,32,55142576
8,2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Time,32,553870927
8,2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Memory,32,55142048
8,2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,PeakMemory,32,436073888
8,2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,AverageMemory,32,277352800
9,3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Modification,Time,32,321277
9,3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Modification,Memory,32,55142024
10,3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Time,32,527350415
10,3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Memory,32,55150048
10,3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,PeakMemory,32,436073144
10,3,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,AverageMemory,32,277352152
11,4,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Modification,Time,32,327104
11,4,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Modification,Memory,32,55150048
12,4,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Time,32,522769198
12,4,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Memory,32,55158840
12,4,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,AverageMemory,32,277360332
12,4,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,PeakMemory,32,436081456
13,5,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Modification,Time,32,340926
13,5,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,Modification,Memory,32,55158840
14,5,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Time,32,504618115
14,5,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,Memory,32,55163672
14,5,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,PeakMemory,32,436089800
14,5,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,1,StatisticBasedCase,M2MTransformation2,AverageMemory,32,277368888
1,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,EMFResourceInitialization,Time,64,596373
1,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,EMFResourceInitialization,Memory,64,10084360
2,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,Generation,Time,64,69775834851
2,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,Generation,Memory,64,1721440008
3,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,Initialization,Time,64,11820731983
3,1,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,1,StatisticBasedCase,Initialization,Memory,64,976740424
