Size,CaseName,Iteration,Scenario,Tool,MetricName,PhaseName,Sequence,MetricValue,RunIndex
64,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,9,176304,2
64,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,9,484103912,2
64,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,10,1885981190,2
64,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,10,484125600,2
64,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,10,1877977064,2
64,LowSynchCase,3,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,10,1111806098,2
64,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,11,146930,2
64,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,11,484135024,2
64,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,12,1713709264,2
64,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,M2MTransformation2,12,484157176,2
64,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,PeakMemory,M2MTransformation2,12,1869186392,2
64,LowSynchCase,4,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,AverageMemory,M2MTransformation2,12,1176661189,2
64,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,Modification,13,140602,2
64,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Memory,Modification,13,484166608,2
64,LowSynchCase,5,BasicXform,BATCH_VIATRA_QUERY_RETE-TEMPLATE,Time,M2MTransformation2,14,1859643426,2
