Tool,MetricName,CaseName,RunIndex,PhaseName,Sequence,MetricValue,Size,Scenario,Iteration
BATCH_OPTIMIZED-TEMPLATE,Time,StatisticBasedCase,2,Modification,5,253392,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,Memory,StatisticBasedCase,2,Modification,5,16140328,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation2,6,35981159859,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation2,6,17183424,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation2,6,3402243056,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation2,6,1004930936,16,BasicXform,1
BATCH_OPTIMIZED-TEMPLATE,Time,StatisticBasedCase,2,Modification,7,399930,16,BasicXform,2
BATCH_OPTIMIZED-TEMPLATE,Memory,StatisticBasedCase,2,Modification,7,17183512,16,BasicXform,2
BATCH_OPTIMIZED-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation2,8,36839149339,16,BasicXform,2
BATCH_OPTIMIZED-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation2,8,18131368,16,BasicXform,2
BATCH_OPTIMIZED-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation2,8,1184335178,16,BasicXform,2
BATCH_OPTIMIZED-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation2,8,3400977816,16,BasicXform,2
BATCH_OPTIMIZED-TEMPLATE,Time,StatisticBasedCase,2,Modification,9,152740,16,BasicXform,3
BATCH_OPTIMIZED-TEMPLATE,Memory,StatisticBasedCase,2,Modification,9,18130464,16,BasicXform,3
BATCH_OPTIMIZED-TEMPLATE,Time,StatisticBasedCase,2,M2MTransformation2,10,35754405556,16,BasicXform,3
BATCH_OPTIMIZED-TEMPLATE,Memory,StatisticBasedCase,2,M2MTransformation2,10,19275400,16,BasicXform,3
BATCH_OPTIMIZED-TEMPLATE,PeakMemory,StatisticBasedCase,2,M2MTransformation2,10,3391862960,16,BasicXform,3
BATCH_OPTIMIZED-TEMPLATE,AverageMemory,StatisticBasedCase,2,M2MTransformation2,10,1095095282,16,BasicXform,3
BATCH_OPTIMIZED-TEMPLATE,Time,StatisticBasedCase,2,Modification,11,156641,16,BasicXform,4
BATCH_OPTIMIZED-TEMPLATE,Memory,StatisticBasedCase,2,Modification,11,19275512,16,BasicXform,4
