CaseName,PhaseName,Tool,Scenario,MetricValue,MetricName,Sequence,Iteration,Size,RunIndex
StatisticBasedCase,M2MTransformation1,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,4342206395,Time,4,1,32,5
StatisticBasedCase,M2MTransformation1,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,490531016,Memory,4,1,32,5
StatisticBasedCase,M2MTransformation1,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,1277786400,PeakMemory,4,1,32,5
StatisticBasedCase,M2MTransformation1,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,817535770,AverageMemory,4,1,32,5
StatisticBasedCase,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,2372664,Time,5,1,32,5
StatisticBasedCase,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,490562504,Memory,5,1,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,4198,Time,6,1,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,490563384,Memory,6,1,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,553947952,PeakMemory,6,1,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,522255768,AverageMemory,6,1,32,5
StatisticBasedCase,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,2523923,Time,7,2,32,5
StatisticBasedCase,Modification,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,490646800,Memory,7,2,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,4227,Time,8,2,32,5
StatisticBasedCase,M2MTransformation2,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,BasicXform,490647680,Memory,8,2,32,5
